	C.sowelli	C.castanea	C.perspicillata	A.lituratus	Glossophaga.sp.	A.jamaicensis	D.watsoni	P.helleri	U.bilobatum	V.nymphaea	V.thyone	P.discolor	E.alba
Piper	6	13	3	0	1	0	0	0	0	0	0	0	0
P.multiplinervium	3	20	10	0	1	0	1	0	0	0	0	0	0
Solanum	2	0	8	0	0	0	1	0	0	0	0	0	0
V.macrophylla	2	0	3	1	0	0	0	0	0	0	0	0	0
Epipremmum	1	0	0	0	0	0	0	0	0	0	0	0	0
P.glabrescens	1	0	0	0	0	0	0	0	0	0	0	0	0
Pourouma	1	0	0	0	0	0	0	0	0	0	0	0	0
Zingiberales	1	1	0	0	0	0	1	0	0	0	0	0	0
C.purpurata	0	1	0	0	0	0	0	0	0	0	0	0	0
P.sanctifelicis	0	2	0	0	0	0	0	0	0	0	0	0	0
P.reticulatum	0	1	0	0	0	0	0	0	0	0	0	0	0
P.peltatum	0	1	0	0	0	0	0	0	0	0	0	0	0
Pinus	0	0	1	0	0	0	0	0	0	0	0	0	0
Juglandaceae	0	0	1	0	0	0	0	0	0	0	0	0	0
Cecropia	0	0	1	1	1	1	6	1	0	2	0	0	0
P.auritum	0	0	1	0	0	0	0	0	0	0	0	0	0
P.marginatum	0	0	1	0	0	0	1	0	0	0	0	0	0
S.papillosa	0	0	1	0	0	0	0	0	0	0	0	0	0
Saxifragaceae	0	0	1	0	0	0	0	0	0	0	0	0	0
Philodendron	0	0	1	0	0	0	0	0	0	0	0	0	0
Moraceae	1	0	0	0	0	0	1	0	0	0	0	0	0
Ficus	0	0	0	0	0	6	2	0	1	0	0	0	5
M.chicle	0	0	0	0	0	0	0	0	0	0	0	1	0
Sapotaceae	0	0	0	0	0	0	0	0	0	0	0	1	0
Bromeliaceae	0	0	0	0	1	0	0	0	0	0	0	0	0
O.pyramidale	0	0	0	0	1	0	0	0	0	0	0	0	0
F.citrifolia	0	0	0	0	0	1	1	0	0	0	1	0	0
F.dewolfii	0	0	0	0	0	0	1	0	0	0	0	0	0
Vismia	0	0	0	0	0	0	0	0	1	0	0	0	0
