	C.sowelli	C.castanea	C.perspicillata	Glossophaga.sp.	A.jamaicensis	D.watsoni	U.bilobatum
Piper	1	5	0	0	0	0	0
Pourouma	1	0	0	0	0	0	0
P.multiplinervium	1	5	6	0	0	1	0
P.glabrescens	1	0	0	0	0	0	0
Zingiberales	1	0	0	0	0	0	0
P.sanctifelicis	0	2	0	0	0	0	0
P.reticulatum	0	1	0	0	0	0	0
P.peltatum	0	1	0	0	0	0	0
Saxifragaceae	0	0	1	0	0	0	0
Solanum	0	0	6	0	0	0	0
Philodendron	0	0	1	0	0	0	0
O.pyramidale	0	0	0	1	0	0	0
Cecropia	0	0	0	1	0	2	0
Ficus	0	0	0	0	4	1	0
P.marginatum	0	0	0	0	0	1	0
Vismia	0	0	0	0	0	0	1
